path	sentence	client_id	translation	split
common_voice_ko_36880322.mp3	물에 비취이면 얼굴이 서로 같은 것 같이 사람의 마음도 서로 비취느니라	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	As the reflection of water reflects one another, so do the hearts of men reflect one another.	train
common_voice_ko_36880323.mp3	여러 사람의 앞으로 한 걸음 다가서며 그 검붉은 얼굴이 매우 긴장해진다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	His black face becomes very tense as he steps in front of several people.	train
common_voice_ko_36880324.mp3	여전히 사건 파악을 못 하고 있는데도?	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Still not getting to the bottom of the incident?	train
common_voice_ko_36880325.mp3	하나님이 뭍을 땅이라 칭하시고 모인 물을 바다라 칭하시니라 하나님의 보시기에 좋았더라	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	And God called the land that was to be dry, and the waters that were gathered together, the sea; and it was good in God's sight.	train
common_voice_ko_36880333.mp3	외눈까풀이는 빙긋이 웃으며 신철이가 주저앉히는 대로 앉아서 방 안을 휘 돌아보았다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	The one-eyed man smirked and sat down as Shin Chul urged him to, his eyes darting around the room.	train
common_voice_ko_36880336.mp3	토요일에는 가족과 함께 쿠키를 구울 것입니다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	On Saturday, you'll be baking cookies with your family.	train
common_voice_ko_36880341.mp3	이거리를 둘이서 걸어요.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Walk this in pairs.	train
common_voice_ko_36880342.mp3	나는 털썩 그 자리에 주저앉고 말았습니다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	I was left frozen in place.	train
common_voice_ko_36880343.mp3	주문하실 상품의 개수는 몇 개인가요?	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	How many products do you want to order?	train
common_voice_ko_36880354.mp3	간난이는 생긋 웃어 보이며 머리를 흔들었다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Gannan smiled and shook his head.	train
common_voice_ko_36880355.mp3	국무총리는 국회의 동의를 얻어 대통령이 임명한다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	The Prime Minister is appointed by the President with the consent of the National Assembly.	train
common_voice_ko_36880357.mp3	너는 벙어리와 고독한 자의 송사를 위하여 입을 열지니라	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Thou shalt open thy mouth for the mute and for the lamentation of the solitary.	train
common_voice_ko_36880358.mp3	무어가 무언지 분간할 수 없는 나는 이렇게 물었다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Unable to discern what Moore was talking about, I asked.	train
common_voice_ko_36880359.mp3	아직 대문은 걸린 채 그대로 있었다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	The gate was still stuck.	train
common_voice_ko_36880363.mp3	어리석은 자는 멀리서 행복을 찾고, 현명한 자는 자신의 발치에서 행복을 키워간다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	The fool seeks happiness at a distance, the wise cultivate it at their feet.	train
common_voice_ko_36880364.mp3	즐겁고 재미있는 콘텐츠를 만들 작가를 모집합니다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	We're looking for writers to create fun and entertaining content.	train
common_voice_ko_36880365.mp3	동화가 마주 가서 어머니의 머리에서 함지박을 받아 들고 뛰어왔다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Donghwa ran over and grabbed the hamzibak from his mother's head and ran.	train
common_voice_ko_36880366.mp3	그리고 그 커다란 눈을 둥그렇게 떴다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	And those big eyes opened round.	train
common_voice_ko_36880367.mp3	그리고 부끄럽지만 않으면 어젯밤 일을 아버지에게 자랑하고 싶었다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	And if I weren't ashamed, I would brag to my father about what happened last night.	train
common_voice_ko_36880372.mp3	부르짖으며 발길로 벽을 걷어차고 일어났다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	I cried out and kicked the wall with my foot and got up.	train
common_voice_ko_36880373.mp3	나오는 줄 모르고 이런 말을 하고도 가슴이 선뜩하였다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	I didn't realize it was coming out of my mouth, but I was excited to say it.	train
common_voice_ko_36880380.mp3	저 뒤에 동영상으로 주암동 사건 개요가 나올 겁니다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	After that, you'll see a video overview of the Juamdong case.	train
common_voice_ko_36880381.mp3	먼 땅에서 오는 좋은 기별은 목마른 사람에게 냉수 같으니라	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	For good tidings from a far country are as cold water to a thirsty man.	train
common_voice_ko_36880382.mp3	예, 덕분에...	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Yes, thanks to...	train
common_voice_ko_36880386.mp3	김첨지는 원망스럽게 전차 타는 이를 노리고 있었다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Kim Chum-ji resentfully glared at the charioteer.	train
common_voice_ko_36880388.mp3	그러나 그네들은 운동꾼이 아니요 구경꾼인 것은 물론이다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	But swings are for spectators, not athletes.	train
common_voice_ko_36880393.mp3	갑자기 튀어져 나오는 광포, 거기 연한 쾌미, 흥소	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	A sudden burst of fury, a mild pleasure there, an excitement.	train
common_voice_ko_36880394.mp3	그때 전깃불이 꺼풋 하고 꺼져 버렸다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Then the lights went out with a bang.	train
common_voice_ko_36880395.mp3	마음의 정결을 사모하는 자의 입술에는 덕이 있으므로 임금이 그의 친구가 되느니라	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Virtue is on the lips of him that desireth purity of heart: and wages are his friend.	train
common_voice_ko_36880400.mp3	게으른 자는 말하기를 사자가 밖에 있은즉 내가 나가면 거리에서 찢기겠다 하느니라	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	The sluggard saith, The lion is outside; if I go out, I will be torn in the street.	train
common_voice_ko_36880401.mp3	그럼, 내일 오랍쇼니까?	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	So, you're coming up tomorrow?	train
common_voice_ko_36880402.mp3	반갑습니다 고객님, 희망을 전해드리는 통신사 케이알 정보통신입니다. 무엇을 도와드릴까요?	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Hello, this is KR Telecom, the telecommunications company that brings you hope. How can we help you?	train
common_voice_ko_36880403.mp3	동혁은 체격과는 정반대로 아이들을 보면 귀여워서 사지를 못 쓴다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Dong-hyuk is the opposite of physically fit, but when he sees children, he is cute and crippled.	train
common_voice_ko_36880404.mp3	그는 나를 밀쳐 버린 다음에 그 음보를 들고서 읽기 시작하였습니다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	He pushed me away, then picked up the note and began to read it.	train
common_voice_ko_36880405.mp3	그리고 이 집에서 옥점이를 어떻게 귀여워하는 것을 잠시간이라도 알 수가 있다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	And I can see how they'd love to have him in this house, if only for a little while.	train
common_voice_ko_36880406.mp3	앞뜰과 뒷동산의 앙상한 삭정이를 휩쓰는 바람 소리만 파도 소리처럼 쏴아쏴아 하고 지나간다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Only the sound of the wind whipping through the dainty cuttings of the front yard and the back garden is heard like the sound of waves.	train
common_voice_ko_36880407.mp3	가만히 그의 두 손을 잡았다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	I held his hands still.	train
common_voice_ko_36880408.mp3	안개 같은 감정이 그의 가슴에서 이리 서리고 저리 엉클어진다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	A fog of emotion rises and falls in his chest.	train
common_voice_ko_36880409.mp3	아까까지 영신은 그 불을 얕은 하늘의 별들이 반짝이는 줄로만 알고있었다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	Until now, Youngshin had only known the fire as the twinkling of stars in the shallow sky.	train
common_voice_ko_36880410.mp3	골김에 그저 이놈의 장인님, 하고 댓돌에다 메꼰코 우리 고향으로 내뺄까 하다가 꾹꾹 참고 말았다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	I was about to say, “You're a craftsman,” and throw it back to my hometown, but I held my tongue.	train
common_voice_ko_36880411.mp3	커다랗게 흉내를 내어서 여러 사람은 천장을 우러러 간간대소를 하였다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	He made a great mockery of it, and the people looked up to the ceiling.	train
common_voice_ko_36880412.mp3	그때 신철이는 옥점 어머니가 선비를 나무랄 때 찡그리던 얼굴임을 얼핏 발견하였다.	c6ea915bc1573d5253873335a07670c60dfe75546918f591b700e4a992ab7e44ab084bd752b3e69e197900cfa2e45e1f094af17209d83b5065456069e71aa84e	At that moment, Shin Chul-yi recognized the frown on his mother's face when she criticized Sun-bi.	train
